"","Varname","Date","Demographic","Index","Poll","n","Question"
"1","BES_increasecrimeBSIP","2014-01-01","All adults",0.57835604449732,"BES Internet Panel",90059,"Do you think that each of the following are getting higher, getting lower or staying about the same? [The level of crime] [5-point scale: A lot lower.. A lot higher] (BES)"
"2","BES_increasecrimeBSIP","2015-01-01","All adults",0.560087857790088,"BES Internet Panel",31552,"Do you think that each of the following are getting higher, getting lower or staying about the same? [The level of crime] [5-point scale: A lot lower.. A lot higher] (BES)"
"3","BES_increasecrimeBSIP","2016-01-01","All adults",0.646901855927223,"BES Internet Panel",94634,"Do you think that each of the following are getting higher, getting lower or staying about the same? [The level of crime] [5-point scale: A lot lower.. A lot higher] (BES)"
"4","BES_increasecrimeBSIP","2017-01-01","All adults",0.681244377414317,"BES Internet Panel",30956,"Do you think that each of the following are getting higher, getting lower or staying about the same? [The level of crime] [5-point scale: A lot lower.. A lot higher] (BES)"
"5","BES_increasecrimeBSIP","2018-01-01","All adults",0.831863314392609,"BES Internet Panel",31063,"Do you think that each of the following are getting higher, getting lower or staying about the same? [The level of crime] [5-point scale: A lot lower.. A lot higher] (BES)"
"6","BES_increasecrimeBSIP","2019-01-01","All adults",0.833495384115431,"BES Internet Panel",103167,"Do you think that each of the following are getting higher, getting lower or staying about the same? [The level of crime] [5-point scale: A lot lower.. A lot higher] (BES)"
"7","BES_increasecrimeBSIP","2023-01-01","All adults",0.767739213434981,"BES Internet Panel",30407,"Do you think that each of the following are getting higher, getting lower or staying about the same? [The level of crime] [5-point scale: A lot lower.. A lot higher] (BES)"
"8","BES_increasecrimeBES","1987-01-01","All adults",0.897608247476716,"BES Cross Sections",3815,"Do you think that the crime situation in Britain these days is [5-point scale: A lot better… A lot worse] (BES)"
"9","BES_increasecrimeBES","1992-01-01","All adults",0.730515713827203,"BES Cross Sections",3527,"Do you think that the crime situation in Britain these days is [5-point scale: A lot better… A lot worse] (BES)"
"10","BES_increasecrimeBES","1997-01-01","All adults",0.536922221759425,"BES Cross Sections",3613,"Do you think that the crime situation in Britain these days is [5-point scale: A lot better… A lot worse] (BES)"
"11","BES_increasecrimeBES","2005-01-01","All adults",0.660825867575373,"BES Cross Sections",4161,"Do you think that the crime situation in Britain these days is [5-point scale: A lot better… A lot worse] (BES)"
"12","BES_Emotion_Crime_Afraid","2004-01-01","All adults",0.406706240773295,"BES Panels",11136,"Which, if any, of the following words describe your feelings about the crime situation in Britain? (Please tick up to four) [Afraid] (BES)"
"13","BES_Emotion_Crime_Afraid","2005-01-01","All adults",0.390815717893427,"BES Panels",14354,"Which, if any, of the following words describe your feelings about the crime situation in Britain? (Please tick up to four) [Afraid] (BES)"
"14","BES_Emotion_Crime_Afraid","2006-01-01","All adults",0.412097307191517,"BES Panels",15339,"Which, if any, of the following words describe your feelings about the crime situation in Britain? (Please tick up to four) [Afraid] (BES)"
"15","BES_Emotion_Crime_Afraid","2007-01-01","All adults",0.408413781353569,"BES Panels",14349,"Which, if any, of the following words describe your feelings about the crime situation in Britain? (Please tick up to four) [Afraid] (BES)"
"16","BES_Emotion_Crime_Afraid","2008-01-01","All adults",0.442604439208538,"BES Panels",14371,"Which, if any, of the following words describe your feelings about the crime situation in Britain? (Please tick up to four) [Afraid] (BES)"
"17","BES_Emotion_Crime_Afraid","2009-01-01","All adults",0.384508430371031,"BES Panels",13566,"Which, if any, of the following words describe your feelings about the crime situation in Britain? (Please tick up to four) [Afraid] (BES)"
