"","Varname","Date","Demographic","Index","Poll","n","Question"
"1","BES_deathpenBSIP","2014-01-01","All adults",0.619768363457393,"BES Internet Panel",30590,"For some crimes, the death penalty is the most appropriate sentence [Likert 5-point scale] (BESIP)"
"2","BES_deathpenBSIP","2015-01-01","All adults",0.57046510910201,"BES Internet Panel",30258,"For some crimes, the death penalty is the most appropriate sentence [Likert 5-point scale] (BESIP)"
"3","BES_deathpenBSIP","2016-01-01","All adults",0.556954683644156,"BES Internet Panel",61132,"For some crimes, the death penalty is the most appropriate sentence [Likert 5-point scale] (BESIP)"
"4","BES_deathpenBSIP","2017-01-01","All adults",0.557854134059963,"BES Internet Panel",31135,"For some crimes, the death penalty is the most appropriate sentence [Likert 5-point scale] (BESIP)"
"5","BES_deathpenBSIP","2018-01-01","All adults",0.561413720975805,"BES Internet Panel",31063,"For some crimes, the death penalty is the most appropriate sentence [Likert 5-point scale] (BESIP)"
"6","BES_deathpenBSIP","2019-01-01","All adults",0.522349758809238,"BES Internet Panel",72325,"For some crimes, the death penalty is the most appropriate sentence [Likert 5-point scale] (BESIP)"
"7","BES_deathpenBSIP","2020-01-01","All adults",0.510135565576453,"BES Internet Panel",31468,"For some crimes, the death penalty is the most appropriate sentence [Likert 5-point scale] (BESIP)"
"8","BES_deathpenBSIP","2021-01-01","All adults",0.522953692267416,"BES Internet Panel",58394,"For some crimes, the death penalty is the most appropriate sentence [Likert 5-point scale] (BESIP)"
"9","BES_deathpenBSIP","2022-01-01","All adults",0.521975867468193,"BES Internet Panel",46388,"For some crimes, the death penalty is the most appropriate sentence [Likert 5-point scale] (BESIP)"
"10","BES_deathpenBSIP","2023-01-01","All adults",0.510373829392454,"BES Internet Panel",30407,"For some crimes, the death penalty is the most appropriate sentence [Likert 5-point scale] (BESIP)"
"11","BES_deathpenBES","1963-01-01","All adults",0.75601750547046,"BES Cross Sections",1828,"Would you like to see the death penalty kept or abolished? (BES)"
"12","BES_deathpenBES","1966-01-01","All adults",0.818701968923543,"BES Cross Sections",1760,"Would you like to see the death penalty kept or abolished? (BES)"
"13","BES_deathpenBES","1970-01-01","All adults",0.738560994039123,"BES Cross Sections",900,"Would you like to see the death penalty kept or abolished? (BES)"
"14","BES_deathpenBES","1979-01-01","All adults",0.685990338164251,"BES Cross Sections",1863,"Would you like to see the death penalty kept or abolished? (BES)"
"15","BES_deathpenBES","1983-01-01","All adults",0.564565327910524,"BES Cross Sections",3934,"Would you like to see the death penalty kept or abolished? (BES)"
"16","BES_deathpenBES","1987-01-01","All adults",0.758994281416868,"BES Cross Sections",3363,"Would you like to see the death penalty kept or abolished? (BES)"
"17","BES_deathpenBES","1992-01-01","All adults",0.453706691845397,"BES Cross Sections",3515,"Would you like to see the death penalty kept or abolished? (BES)"
"18","BES_deathpenBES","1997-01-01","All adults",0.485948758082682,"BES Cross Sections",3609,"Would you like to see the death penalty kept or abolished? (BES)"
"19","BES_deathpenBES","2017-01-01","All adults",0.506649955795254,"BES Cross Sections",2139,"Would you like to see the death penalty kept or abolished? (BES)"
"20","BES_deathpenBES","2019-01-01","All adults",0.457787121256223,"BES Cross Sections",3678,"Would you like to see the death penalty kept or abolished? (BES)"
"21","BES_deathpenneverjust","2001-01-01","All adults",0.408047085727095,"BES Cross Sections",2125,"The death penalty, even for very serious crimes, is never justified [Agree/Disagree] (BES)"
"22","BES_deathpenneverjust","2005-01-01","All adults",0.474215716981977,"BES Cross Sections",3161,"The death penalty, even for very serious crimes, is never justified [Agree/Disagree] (BES)"
"23","BES_deathpenBES","1986-01-01","All adults",0.571156492450046,"BES Panels",1083,"Would you like to see the death penalty kept or abolished? (BES)"
"24","BES_deathpenBES","1987-01-01","All adults",0.581518812209506,"BES Panels",871,"Would you like to see the death penalty kept or abolished? (BES)"
