"","Varname","Date","Demographic","Index","Poll","n","Question"
"1","Ipsos (MII)","1974-01-01","All adults",0.045040162,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"2","Ipsos (MII)","1978-01-01","All adults",0.090551181,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"3","Ipsos (MII)","1979-01-01","All adults",0.080533854,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"4","Ipsos (MII)","1980-01-01","All adults",0.08661776,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"5","Ipsos (MII)","1982-01-01","All adults",0.06555602,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"6","Ipsos (MII)","1983-01-01","All adults",0.057091477,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"7","Ipsos (MII)","1984-01-01","All adults",0.05138695,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"8","Ipsos (MII)","1985-01-01","All adults",0.090118439,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"9","Ipsos (MII)","1986-01-01","All adults",0.085403832,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"10","Ipsos (MII)","1987-01-01","All adults",0.102236877,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"11","Ipsos (MII)","1988-01-01","All adults",0.120368903,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"12","Ipsos (MII)","1989-01-01","All adults",0.085796269,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"13","Ipsos (MII)","1990-01-01","All adults",0.052352147,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"14","Ipsos (MII)","1991-01-01","All adults",0.054177282,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"15","Ipsos (MII)","1992-01-01","All adults",0.057585606,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"16","Ipsos (MII)","1993-01-01","All adults",0.118009242,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"17","Ipsos (MII)","1994-01-01","All adults",0.1402794,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"18","Ipsos (MII)","1995-01-01","All adults",0.119286397,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"19","Ipsos (MII)","1996-01-01","All adults",0.144300252,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"20","Ipsos (MII)","1997-01-01","All adults",0.100637713,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
"21","Ipsos (MII)","1998-01-01","All adults",0.091582452,"Ipsos (MII)",NA,"Q What would you say is the most important issue facing Britain today? Q What do you see as other important issues facing Britain today? [Open ended] (Ipsos)"
