"","Varname","Date","Demographic","Index","Poll","n","Question"
"1","BES_stiffsentBESIP","2014-01-01","All adults",0.889785725689275,"BES Internet Panel",30590,"People who break the law should be given stiffer sentences [Likert 5-point scale] (BESIP)"
"2","BES_stiffsentBESIP","2015-01-01","All adults",0.83439499873063,"BES Internet Panel",30258,"People who break the law should be given stiffer sentences [Likert 5-point scale] (BESIP)"
"3","BES_stiffsentBESIP","2016-01-01","All adults",0.812150675298126,"BES Internet Panel",61132,"People who break the law should be given stiffer sentences [Likert 5-point scale] (BESIP)"
"4","BES_stiffsentBESIP","2017-01-01","All adults",0.810471266634209,"BES Internet Panel",31135,"People who break the law should be given stiffer sentences [Likert 5-point scale] (BESIP)"
"5","BES_stiffsentBESIP","2018-01-01","All adults",0.827259310283265,"BES Internet Panel",31063,"People who break the law should be given stiffer sentences [Likert 5-point scale] (BESIP)"
"6","BES_stiffsentBESIP","2019-01-01","All adults",0.803414921338512,"BES Internet Panel",72325,"People who break the law should be given stiffer sentences [Likert 5-point scale] (BESIP)"
"7","BES_stiffsentBESIP","2020-01-01","All adults",0.787141578622856,"BES Internet Panel",31468,"People who break the law should be given stiffer sentences [Likert 5-point scale] (BESIP)"
"8","BES_stiffsentBESIP","2021-01-01","All adults",0.788070410386044,"BES Internet Panel",58394,"People who break the law should be given stiffer sentences [Likert 5-point scale] (BESIP)"
"9","BES_stiffsentBESIP","2022-01-01","All adults",0.782992382765814,"BES Internet Panel",46388,"People who break the law should be given stiffer sentences [Likert 5-point scale] (BESIP)"
"10","BES_stiffsentBESIP","2023-01-01","All adults",0.787114669308561,"BES Internet Panel",30407,"People who break the law should be given stiffer sentences [Likert 5-point scale] (BESIP)"
"11","BES_crimerightscale","1983-01-01","All adults",0.533009211873081,"BES Cross Sections",3908,"People who are convinced that protecting civil rights is more important than cutting crime will put a toick in the last box on the left, while those who are convinced that cutting crime is more important than protecting civil rights will put a tick in the last box on the right. First, would you tick the box anywhere along the [21-point] scale that comes closest to your own views about law and order? (BES)"
"12","BES_crimerightscale","1987-01-01","All adults",0.603591171257839,"BES Cross Sections",3755,"People who are convinced that protecting civil rights is more important than cutting crime will put a toick in the last box on the left, while those who are convinced that cutting crime is more important than protecting civil rights will put a tick in the last box on the right. First, would you tick the box anywhere along the [21-point] scale that comes closest to your own views about law and order? (BES)"
"13","BES_crimerightscale","2001-01-01","All adults",0.549595778549195,"BES Cross Sections",2191,"People who are convinced that protecting civil rights is more important than cutting crime will put a toick in the last box on the left, while those who are convinced that cutting crime is more important than protecting civil rights will put a tick in the last box on the right. First, would you tick the box anywhere along the [21-point] scale that comes closest to your own views about law and order? (BES)"
"14","BES_crimerightscale","2005-01-01","All adults",0.950149028609448,"BES Cross Sections",3257,"People who are convinced that protecting civil rights is more important than cutting crime will put a toick in the last box on the left, while those who are convinced that cutting crime is more important than protecting civil rights will put a tick in the last box on the right. First, would you tick the box anywhere along the [21-point] scale that comes closest to your own views about law and order? (BES)"
"15","BES_crimerightscale","2010-01-01","All adults",0.621245529751868,"BES Cross Sections",1868,"People who are convinced that protecting civil rights is more important than cutting crime will put a toick in the last box on the left, while those who are convinced that cutting crime is more important than protecting civil rights will put a tick in the last box on the right. First, would you tick the box anywhere along the [21-point] scale that comes closest to your own views about law and order? (BES)"
"16","BES_rehabcriminalsnotpunish","2001-01-01","All adults",0.414860901626764,"BES Cross Sections",2099,"Convicted criminals need to be rehabilitated rather than punished  [Agree/Disagree] (BES)"
"17","BES_rehabcriminalsnotpunish","2005-01-01","All adults",0.516146370987112,"BES Cross Sections",3162,"Convicted criminals need to be rehabilitated rather than punished  [Agree/Disagree] (BES)"
"18","BES_stiffsentenceBES","1979-01-01","All adults",0.906552094522019,"BES Cross Sections",1862,"People who break the law should be given longer prison sentences [Agree/Disagree] (BES)"
"19","BES_stiffsentenceBES","1983-01-01","All adults",0.768897938406719,"BES Cross Sections",3929,"People who break the law should be given longer prison sentences [Agree/Disagree] (BES)"
"20","BES_stiffsentenceBES","1987-01-01","All adults",0.797000142067476,"BES Cross Sections",3359,"People who break the law should be given longer prison sentences [Agree/Disagree] (BES)"
"21","BES_stiffsentenceBES","1992-01-01","All adults",0.802472933265719,"BES Cross Sections",3518,"People who break the law should be given longer prison sentences [Agree/Disagree] (BES)"
"22","BES_stiffsentenceBES","1997-01-01","All adults",0.837261210264937,"BES Cross Sections",3609,"People who break the law should be given longer prison sentences [Agree/Disagree] (BES)"
"23","BES_stiffsentenceBES","2001-01-01","All adults",0.603603762176007,"BES Cross Sections",2130,"People who break the law should be given longer prison sentences [Agree/Disagree] (BES)"
"24","BES_stiffsentenceBES","2005-01-01","All adults",0.635482849510998,"BES Cross Sections",3172,"People who break the law should be given longer prison sentences [Agree/Disagree] (BES)"
"25","BES_stiffsentenceBES","2017-01-01","All adults",0.644557250899953,"BES Cross Sections",2139,"People who break the law should be given longer prison sentences [Agree/Disagree] (BES)"
"26","BES_stiffsentenceBES","2019-01-01","All adults",0.670898578259404,"BES Cross Sections",3680,"People who break the law should be given longer prison sentences [Agree/Disagree] (BES)"
"27","BES_violentcrimnorights","2001-01-01","All adults",0.809053428115406,"BES Cross Sections",2110,"Violent criminals deserve to de deprived of some of their human rights  [Agree/Disagree] (BES)"
"28","BES_violentcrimnorights","2005-01-01","All adults",0.825883972297509,"BES Cross Sections",3172,"Violent criminals deserve to de deprived of some of their human rights  [Agree/Disagree] (BES)"
